업종명	업소명	소재지(도로명)	소재지(지번)	행정동명
일반음식점	이자카야토라대전대흥점	"대전광역시 중구 중앙로122번길 25 (대흥동,(1층))"	대전광역시 중구 대흥동 210-1 (1층) 	대흥동
일반음식점	일품루	대전광역시 중구 대흥로175번길 37 (대흥동)	대전광역시 중구 대흥동 5-14 	대흥동
일반음식점	진로집	대전광역시 중구 중교로 45-5 (대흥동)	대전광역시 중구 대흥동 314-1 	대흥동
일반음식점	양자강	대전광역시 중구 대흥로 90 (대흥동)	대전광역시 중구 대흥동 515 	대흥동
일반음식점	소나무집	대전광역시 중구 대종로460번길 59 (대흥동)	대전광역시 중구 대흥동 2-7 	대흥동
일반음식점	송원식당	대전광역시 중구 대종로521번길 5-5 (선화동)	대전광역시 중구 선화동 21-9 	은행선화동
일반음식점	비비큐1층	"대전광역시 중구 계룡로874번길 9, 1층 (오류동)"	대전광역시 중구 오류동 151-6 (1층) 	오류동
일반음식점	주식회사미소모아600	대전광역시 중구 오류로 19-11 (오류동)	대전광역시 중구 오류동 170-25 	오류동
일반음식점	희락반점	대전광역시 중구 중앙로129번길 21 (선화동)	대전광역시 중구 선화동 36 	은행선화동
일반음식점	왕궁짬뽕명가	대전광역시 중구 대종로 431-2 (대흥동)	대전광역시 중구 대흥동 172-3 	대흥동
일반음식점	가평식당	"대전광역시 중구 유천로132번길 31-13, 1층 (태평동)"	대전광역시 중구 태평동 329-2 1층 	태평1동
일반음식점	덕화식당	"대전광역시 중구 계룡로881번길 51, 1층 (용두동)"	대전광역시 중구 용두동 12-3 1층 	용두동
일반음식점	백객도짬뽕	"대전광역시 중구 선화로 136, 1층 (선화동)"	대전광역시 중구 선화동 17 1층 	은행선화동
일반음식점	골목집포차	대전광역시 중구 보문로47번길 8 (문창동)	대전광역시 중구 문창동 374-9 	문창동
일반음식점	동아식당	대전광역시 중구 계룡로815번길 14 (용두동)	대전광역시 중구 용두동 34-2 	용두동
일반음식점	본가칼국수	대전광역시 중구 중앙로112번길 42 (대흥동)	대전광역시 중구 대흥동 464-1 	대흥동
일반음식점	오복식탁	"대전광역시 중구 중앙로112번길 24, 1층 (대흥동)"	대전광역시 중구 대흥동 488 1층 	대흥동
일반음식점	복지면옥식당	대전광역시 중구 중교로 16 (대흥동)	대전광역시 중구 대흥동 508-4 	대흥동
일반음식점	먹고또먹고식당	대전광역시 중구 대둔산로 527-1 (유천동)	대전광역시 중구 유천동 337-3 	유천1동
일반음식점	전주집	대전광역시 중구 대흥로175번길 43 (대흥동)	대전광역시 중구 대흥동 5-3 	대흥동
일반음식점	정원	대전광역시 중구 중교로 11 (대흥동)	대전광역시 중구 대흥동 504-4 	대흥동
일반음식점	학선식당	"대전광역시 중구 보문로337번길 26, 1층 (선화동)"	대전광역시 중구 선화동 151-3 1층 	은행선화동
일반음식점	한영식당	"대전광역시 중구 계룡로874번길 6 (오류동,,27(1,2층))"	"대전광역시 중구 오류동 149-25 ,27(1,2층) "	오류동
일반음식점	종가집밥상	대전광역시 중구 대흥로 97 (대흥동)	대전광역시 중구 대흥동 451-5 	대흥동
일반음식점	동호횟집2	"대전광역시 중구 보문로162번길 5, 1층 (대사동)"	대전광역시 중구 대사동 104-8 1층 	대사동
일반음식점	권영분영동뜨끈이	"대전광역시 중구 대전천서로 375-1, 1층 (문창동)"	대전광역시 중구 문창동 10-6 1층 	문창동
일반음식점	대성숯불구이	대전광역시 중구 동서대로1322번길 21 (용두동)	대전광역시 중구 용두동 111-12 	용두동
일반음식점	정통집대전대흥점	"대전광역시 중구 중앙로122번길 24, 1층 (대흥동)"	대전광역시 중구 대흥동 478-2 1층 	대흥동
일반음식점	린생사진관	"대전광역시 중구 중앙로130번길 44, 2층 (대흥동)"	대전광역시 중구 대흥동 249-1 2층 	대흥동
일반음식점	엠식당	"대전광역시 중구 계룡로874번길 15, 2층 (오류동)"	대전광역시 중구 오류동 153-3 2층 	오류동
일반음식점	88포장마차대전오류점	대전광역시 중구 계룡로874번길 10 (오류동)	대전광역시 중구 오류동 149-28 	오류동
일반음식점	벌집녹두삼계탕	대전광역시 중구 계백로 1705-17 (오류동)	대전광역시 중구 오류동 159-4 	오류동
일반음식점	금광식당	"대전광역시 중구 충무로 127 (대사동,(2,3,4,층))"	"대전광역시 중구 대사동 64-18 (2,3,4,층) "	대사동
일반음식점	보통사람들식당	대전광역시 중구 중앙로164번길 21-10 (은행동)	대전광역시 중구 은행동 53-10 	은행선화동
일반음식점	못난이꽈배기중촌점	대전광역시 중구 목중로 6-1 (중촌동)	대전광역시 중구 중촌동 409-4 	중촌동
일반음식점	카페류	대전광역시 중구 대흥로 73 (대흥동)	대전광역시 중구 대흥동 508-45 	대흥동
일반음식점	대전갈비집	"대전광역시 중구 대흥로175번길 28, 1층 (대흥동)"	대전광역시 중구 대흥동 3-16 1층 	대흥동
일반음식점	충북집	대전광역시 중구 문창로 126-1 (대흥동)	대전광역시 중구 대흥동 23-5 	대흥동
일반음식점	삼정식당	"대전광역시 중구 중앙로121번길 66, 1층 (선화동)"	대전광역시 중구 선화동 17-6 1층 	은행선화동
일반음식점	미가참숯구이	"대전광역시 중구 계룡로 911, 1층 (문화동)"	"대전광역시 중구 문화동 1-143 .213, 1층 "	문화1동
일반음식점	이모네소머리국밥	대전광역시 중구 계백로 1591 (유천동)	대전광역시 중구 유천동 209-121 	유천1동
일반음식점	남촌회관	"대전광역시 중구 중앙로16번길 27-7, 1~2층 (문화동)"	대전광역시 중구 문화동 1-175 1~2층 	문화1동
일반음식점	서울뚝배기해장국	"대전광역시 중구 대종로 279, 1층 (부사동)"	대전광역시 중구 부사동 260-9 1층 	부사동
일반음식점	홍콩반점식당	"대전광역시 중구 유천로17번길 17 (유천동,(1층))"	대전광역시 중구 유천동 269-20 (1층) 	유천2동
일반음식점	봉봉국수김밥	"대전광역시 중구 보문로47번길 46 (문창동,(1층))"	대전광역시 중구 문창동 378-1 (1층) 	문창동
일반음식점	고단백식당	대전광역시 중구 대종로517번길 62 (선화동)	대전광역시 중구 선화동 282-11 	은행선화동
일반음식점	티월드동소예주식회사	"대전광역시 중구 충무로 125, 1층 (대사동)"	대전광역시 중구 대사동 63-1 1층 	대사동
일반음식점	시골집식당	대전광역시 중구 보문로 43-1 (문창동)	대전광역시 중구 문창동 373-5 	문창동
일반음식점	교하식당	대전광역시 중구 목척3길 8 (은행동)	대전광역시 중구 은행동 124 	은행선화동
일반음식점	광천식당	대전광역시 중구 대종로505번길 29 (선화동)	대전광역시 중구 선화동 52-2 	은행선화동
일반음식점	여울목	"대전광역시 중구 유천로86번길 5, 1층 (유천동)"	대전광역시 중구 유천동 202-45 1층 	유천1동
일반음식점	카페프로필	"대전광역시 중구 유천로132번길 27, 1~2층 (태평동)"	대전광역시 중구 태평동 329-6 1~2층 	태평1동
일반음식점	파트너식당	대전광역시 중구 보문로 65 (부사동)	대전광역시 중구 부사동 151-8 	부사동
일반음식점	컴포즈커피서대전네거리점	대전광역시 중구 계룡로874번길 13 (오류동)	대전광역시 중구 오류동 153-1 	오류동
일반음식점	우리칼국수식당	대전광역시 중구 대종로505번길 19 (선화동)	대전광역시 중구 선화동 59-1 	은행선화동
일반음식점	맛나식당	대전광역시 중구 대종로460번길 22 (대흥동)	대전광역시 중구 대흥동 134 	대흥동
일반음식점	곤지암소머리국밥	대전광역시 중구 대종로 201 (석교동)	대전광역시 중구 석교동 65-12 (1층) 	석교동
일반음식점	영동식당	대전광역시 중구 계룡로874번길 27-9 (오류동)	대전광역시 중구 오류동 153-25 	오류동
일반음식점	유천매운탕	"대전광역시 중구 계백로1584번길 15, 1층 (유천동)"	대전광역시 중구 유천동 211-12 1층 	유천2동
일반음식점	전주콩나물해장국식당	대전광역시 중구 대둔산로 468 (산성동)	대전광역시 중구 산성동 145-27 	산성동
